lemma,surface,pos,frequency,context_gender,context_number,plural,plural_alternatives,plural_candidates,verb_forms,example_sentence,example_cloze,book
Horcrux,Horcrux,NOUN,25,masculine,singular,,,,,Der Zauber beim Schaffen eines Horcrux,Der Zauber beim Schaffen eines {{c1::Horcrux}},06_harry_potter_und_der_halbblutprinz
fortschrittlich,fortschrittlicher,ADJ,17,,,,,,,"""fortschrittlicher Zaubertrankherstellung"" zu enthüllen, frisch von Flourish and","""{{c1::fortschrittlicher}} Zaubertrankherstellung"" zu enthüllen, frisch von Flourish and",06_harry_potter_und_der_halbblutprinz
Trankherstellung,Trankherstellung,NOUN,13,feminine,singular,,,,,fortschrittlicher Trankherstellung,fortschrittlicher {{c1::Trankherstellung}},06_harry_potter_und_der_halbblutprinz
anstarrend,anstarrend,ADV,11,,,,,,,"Narcissa begann zu weinen, Snape dabei ernsthaft, flehentlich anstarrend.","Narcissa begann zu weinen, Snape dabei ernsthaft, flehentlich {{c1::anstarrend}}.",06_harry_potter_und_der_halbblutprinz
Zaubertrankherstellung,Zaubertrankherstellung,NOUN,10,feminine,singular,,,,,Zaubertrankherstellung. .,{{c1::Zaubertrankherstellung}}. .,06_harry_potter_und_der_halbblutprinz
zeigend,zeigend,ADV,10,,,,,,,zeigend.,{{c1::zeigend}}.,06_harry_potter_und_der_halbblutprinz
Dursleyś,Dursleyś,NOUN,9,masculine,singular,Dursleyś,,Dursleyś (1),,endlich vor den Dursleyś gerettet wurde.,endlich vor den {{c1::Dursleyś}} gerettet wurde.,06_harry_potter_und_der_halbblutprinz
Inferi,Inferi,NOUN,9,neuter,singular,Inferi,,Inferi (8),,"Jegliche Beobachtungen eines Inferi, oder ähnlichem, muss sofort","Jegliche Beobachtungen eines {{c1::Inferi}}, oder ähnlichem, muss sofort",06_harry_potter_und_der_halbblutprinz
Levander,Levander,NOUN,9,neuter,plural,Levander,,Levander (7),,"""Hallo, Parvati!"" sagte Hermine, die Ron und Levander völlig ignoriert.","""Hallo, Parvati!"" sagte Hermine, die Ron und {{c1::Levander}} völlig ignoriert.",06_harry_potter_und_der_halbblutprinz
Todesesser,Todesesser,NOUN,9,neuter,plural,Todesesser,Todesessern,Todesesser (3); Todesessern (1),,"Zauberergemeinschaft, dass die Todesesser, die aus Askaban flohen, dort","Zauberergemeinschaft, dass die {{c1::Todesesser}}, die aus Askaban flohen, dort",06_harry_potter_und_der_halbblutprinz
Sekundenbruchteil,Sekundenbruchteil,NOUN,8,masculine,singular,Sekundenbruchteile,Sekundenbruchteilen,,,einen Sekundenbruchteil länger auf Harryś verweilend als bei irgendjemand sonst.,einen {{c1::Sekundenbruchteil}} länger auf Harryś verweilend als bei irgendjemand sonst.,06_harry_potter_und_der_halbblutprinz
Unsichtbarkeits-Umhang,Unsichtbarkeits-Umhang,NOUN,8,masculine,singular,,,,,als letztes musste er seinen Unsichtbarkeits-Umhang unter dem Bett,als letztes musste er seinen {{c1::Unsichtbarkeits-Umhang}} unter dem Bett,06_harry_potter_und_der_halbblutprinz
außerstand,außerstande,ADV,8,,,,,,,"außerstande gewesen waren, Zeit zu finden um Hagrid zu besuchen.","{{c1::außerstande}} gewesen waren, Zeit zu finden um Hagrid zu besuchen.",06_harry_potter_und_der_halbblutprinz
definitiv,definitiv,ADV,8,,,,,,,definitiv mindestens eine fehlerhafte Übersetzung gemacht.,{{c1::definitiv}} mindestens eine fehlerhafte Übersetzung gemacht.,06_harry_potter_und_der_halbblutprinz
ignorierend,ignorierend,ADV,8,,,,,,,"""Nun"", sagte Dumbledore, das herum gewedel von Onkel Vernon ignorierend, dem","""Nun"", sagte Dumbledore, das herum gewedel von Onkel Vernon {{c1::ignorierend}}, dem",06_harry_potter_und_der_halbblutprinz
schauend,schauend,ADV,8,,,,,,,"Immer noch erstaunt schauend, zog sie ihn hervor.","Immer noch erstaunt {{c1::schauend}}, zog sie ihn hervor.",06_harry_potter_und_der_halbblutprinz
anschauend,anschauend,ADV,7,,,,,,,"sagte Narcissa mit leiser drohender Stimme, ihre Schwester anschauend.","sagte Narcissa mit leiser drohender Stimme, ihre Schwester {{c1::anschauend}}.",06_harry_potter_und_der_halbblutprinz
soweit,soweit,ADV,7,,,,,,,"Nein, was wir wissen wollten, war ... wie ist es denn soweit gekommen?","Nein, was wir wissen wollten, war ... wie ist es denn {{c1::soweit}} gekommen?",06_harry_potter_und_der_halbblutprinz
Muggle,Muggle,NOUN,6,neuter,singular,,,,,einem Muggle aufführte.,einem {{c1::Muggle}} aufführte.,06_harry_potter_und_der_halbblutprinz
gebend,gebend,ADV,6,,,,,,,"""Au revoir, Arry"", sagte Fleur heiser, ihm einen Abschiedskuss gebend.","""Au revoir, Arry"", sagte Fleur heiser, ihm einen Abschiedskuss {{c1::gebend}}.",06_harry_potter_und_der_halbblutprinz
Aguamenti,Aguamenti,NOUN,5,neuter,singular,Aguamenti,,Aguamenti (2),,"""Aguamenti !"" schrie er und stieß den Pokal mit seinem Zauberstab an.","""{{c1::Aguamenti}} !"" schrie er und stieß den Pokal mit seinem Zauberstab an.",06_harry_potter_und_der_halbblutprinz
Madamme,Madamme,NOUN,5,feminine,singular,,,,,"ihn zu Madamme Pomfrey bringen, aber wissen sie ... schwierige Fragen ...""","ihn zu {{c1::Madamme}} Pomfrey bringen, aber wissen sie ... schwierige Fragen ...""",06_harry_potter_und_der_halbblutprinz
Oberseite,Oberseite,NOUN,5,feminine,singular,Oberseiten,,,,"Die Frau, die Narcissa genannt wurde, erreichte die Oberseite der Böschung, auf","Die Frau, die Narcissa genannt wurde, erreichte die {{c1::Oberseite}} der Böschung, auf",06_harry_potter_und_der_halbblutprinz
Peakes,Peakes,NOUN,5,neuter,singular,,,,,Peakes und Coote wurden immer besser.,{{c1::Peakes}} und Coote wurden immer besser.,06_harry_potter_und_der_halbblutprinz
festhaltend,festhaltend,ADV,5,,,,,,,"ein, als es um die Ecke lief, dieses mal ihren Arm festhaltend und sie herum","ein, als es um die Ecke lief, dieses mal ihren Arm {{c1::festhaltend}} und sie herum",06_harry_potter_und_der_halbblutprinz
hinaufsehen,hinaufsah,VERB,5,,,,,,,Frühstück hinaufsah.,Frühstück {{c1::hinaufsah}}.,06_harry_potter_und_der_halbblutprinz
nickend,nickend,ADV,5,,,,,,,"´ würde gut passen"", sagte Dumbledore nickend.","´ würde gut passen"", sagte Dumbledore {{c1::nickend}}.",06_harry_potter_und_der_halbblutprinz
nochmal,nochmal,ADV,5,,,,,,,"Harry dachte nicht, dass er nochmal eine volle Hausauswahl durchhalten konnte.","Harry dachte nicht, dass er {{c1::nochmal}} eine volle Hausauswahl durchhalten konnte.",06_harry_potter_und_der_halbblutprinz
stoßend,stoßend,ADV,5,,,,,,,stoßend.,{{c1::stoßend}}.,06_harry_potter_und_der_halbblutprinz
Coote,Coote,NOUN,4,feminine,singular,,,,,Team waren weil Harry sie mochte und er stattdessen über Peakes und Coote sprach.,Team waren weil Harry sie mochte und er stattdessen über Peakes und {{c1::Coote}} sprach.,06_harry_potter_und_der_halbblutprinz
